GAME_ID,GAME_DATE,HOME_TEAM,AWAY_TEAM,PTS_HOME,PTS_AWAY,TOTAL_POINTS,IS_FINAL,PACE_HOME,OFFRTG_HOME,DEFRTG_HOME,NETRTG_HOME,TS_HOME,EFG_HOME,PACE_AWAY,OFFRTG_AWAY,DEFRTG_AWAY,NETRTG_AWAY,TS_AWAY,EFG_AWAY,PACE_DIFF,OFFRTG_DIFF,DEFRTG_DIFF,NETRTG_DIFF,TS_DIFF,EFG_DIFF,HOME_GAMES_LAST3,AWAY_GAMES_LAST3,HOME_GAMES_LAST5,AWAY_GAMES_LAST5,HOME_REST_DAYS,AWAY_REST_DAYS,HOME_B2B,AWAY_B2B,ROAD_TRIP_HOME,ROAD_TRIP_AWAY,ROAD_TRIP_LEN_HOME,ROAD_TRIP_LEN_AWAY,FORMA_HOME_3,FORMA_AWAY_3,DIFESA_HOME_3,DIFESA_AWAY_3,MATCHUP_HOME_3,MATCHUP_AWAY_3,FORMA_HOME_5,FORMA_AWAY_5,DIFESA_HOME_5,DIFESA_AWAY_5,MATCHUP_HOME_5,MATCHUP_AWAY_5,FORMA_HOME_10,FORMA_AWAY_10,DIFESA_HOME_10,DIFESA_AWAY_10,MATCHUP_HOME_10,MATCHUP_AWAY_10,STREAK_HOME,STREAK_AWAY,PDIFF_HOME,PDIFF_AWAY,3IN4_HOME,3IN4_AWAY,4IN6_HOME,4IN6_AWAY,GAMES_LAST4_HOME,GAMES_LAST4_AWAY,GAMES_LAST6_HOME,GAMES_LAST6_AWAY,REST_DIFF,FORMA_SUM_5,FORMA_DIFF_5,DIFESA_SUM_5,REST_ADV_FLAG,LAST_GAME_ROADTRIP_HOME,LAST_GAME_ROADTRIP_AWAY,SEASON_PHASE,COAST_TRAVEL,TREND_HOME,TREND_AWAY,AVG_PACE,H2H_AVG_TOTAL_LASTN,THREEPT_DIFF,REB_DIFF,TOV_DIFF,END_SEASON_FLAG,ALL_STAR_FLAG,PLAYOFF_RACE_FLAG,FATIGUE_HOME,FATIGUE_AWAY,KEY_PLAYERS_OUT_HOME,KEY_PLAYERS_OUT_AWAY,IMPACT_HOME,IMPACT_AWAY,CURRENT_LINE,CLOSING_LINE,FINAL_LINE,PACE_LAST5_HOME,PACE_LAST5_AWAY,PACE_LAST5_EXPECTED,PACE_LAST5_DIFF
22500086,2025-10-22,MIL,WAS,133.0,120.0,253.0,True,105.49,108.4,110.8,-2.4,,0.524,106.38,99.2,104.3,-5.0,,0.501,-0.8900000000000006,9.200000000000005,6.5,2.6,,0.023,0,0,0,0,3.0,3.0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,1,-1,13.0,-13.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,13.0,-13.0,105.935,,0,0,0,1,0,1,2,2,0.1,1.0,3.23,13.7,,,238.5,,,,
22500087,2025-10-22,UTA,LAC,129.0,108.0,237.0,True,106.39,106.9,106.2,0.7,,0.518,103.54,103.9,103.0,0.9,,0.523,2.8499999999999943,3.0,3.200000000000003,-0.2,,-0.005,0,0,0,0,3.0,3.0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,1,-1,21.0,-21.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,21.0,-21.0,104.965,,0,0,0,1,0,1,2,2,0.0,0.0,0.0,0.0,,,238.5,,,,
22500088,2025-10-22,PHX,SAC,120.0,116.0,236.0,True,105.0,104.2,108.1,-3.9,,0.516,101.14,110.2,102.8,7.4,,0.549,3.859999999999999,-6.0,5.299999999999997,-11.3,,-0.033,0,0,0,0,3.0,3.0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,1,-1,4.0,-4.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4.0,-4.0,103.07,,0,0,0,1,0,1,2,2,0.1,1.0,1.64,14.5,,,238.5,,,,
22500089,2025-10-22,POR,MIN,114.0,118.0,232.0,True,108.24,109.2,102.7,6.5,,0.523,104.92,108.0,104.8,3.2,,0.522,3.319999999999993,1.2000000000000028,-2.0999999999999943,3.3,,0.001,0,0,0,0,3.0,3.0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,-1,1,-4.0,4.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-4.0,4.0,106.58,,0,0,0,1,0,1,2,2,0.0,0.25,0.0,6.425,,,238.5,,,,
22500006,2025-10-23,GSW,DEN,137.0,131.0,268.0,True,103.47,104.2,107.0,-2.9,,0.506,101.31,110.3,108.6,1.8,,0.532,2.1599999999999966,-6.099999999999994,-1.5999999999999943,-4.7,,-0.026,0,0,0,0,2.0,3.0,0,0,0,1,0,1,119.0,,109.0,,,,119.0,,109.0,,,,119.0,,109.0,,,,2,-1,8.0,-6.0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,8.0,-6.0,102.39,,0,0,0,1,0,1,1,2,1.0,0.0,10.5,0.0,,,228.0,,,,
22500005,2025-10-23,IND,OKC,135.0,141.0,276.0,True,106.98,111.8,116.2,-4.4,,0.549,103.16,104.8,100.5,4.3,,0.5,3.8200000000000074,7.0,15.700000000000005,-8.7,,0.049,0,0,0,0,3.0,2.0,0,0,0,1,0,1,,125.0,,124.0,,,,125.0,,124.0,,,,125.0,,124.0,,,-1,2,-6.0,3.5,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,-6.0,3.5,105.07,,0,0,0,1,0,1,2,1,0.0,1.0,0.0,18.3,,,249.0,,,,
22500018,2025-10-24,NYK,BOS,105.0,95.0,200.0,True,103.22,104.1,106.9,-2.8,,0.482,103.46,106.6,100.3,6.3,,0.499,-0.2399999999999948,-2.5,6.6000000000000085,-9.1,,-0.017,1,0,1,0,2.0,2.0,0,0,0,1,0,1,119.0,116.0,111.0,117.0,2.0,5.0,119.0,116.0,111.0,117.0,2.0,5.0,119.0,116.0,111.0,117.0,2.0,5.0,2,-2,9.0,-5.5,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,9.0,-5.5,103.34,,0,0,0,1,0,1,1,1,0.35,0.0,6.81,0.0,,,231.5,,,,
22500019,2025-10-24,LAL,MIN,128.0,110.0,238.0,True,99.52,105.6,106.5,-0.9,,0.517,104.92,108.0,104.8,3.2,,0.522,-5.400000000000006,-2.4000000000000057,1.7000000000000028,-4.1000000000000005,,-0.005,1,1,1,1,3.0,2.0,0,0,0,1,0,2,109.0,118.0,119.0,114.0,-5.0,-1.0,109.0,118.0,119.0,114.0,-5.0,-1.0,109.0,118.0,119.0,114.0,-5.0,-1.0,1,-1,4.0,-7.0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,4.0,-7.0,102.22,,0,0,0,1,0,1,2,1,0.0,0.0,0.0,0.0,,,230.0,,,,
22500090,2025-10-24,ORL,ATL,107.0,111.0,218.0,True,105.36,96.9,105.4,-8.5,,0.473,105.7,109.2,109.3,-0.1,,0.523,-0.3400000000000034,-12.299999999999995,-3.899999999999991,-8.4,,-0.05,1,0,1,0,2.0,2.0,0,0,0,1,0,1,125.0,118.0,121.0,138.0,-13.0,-3.0,125.0,118.0,121.0,138.0,-13.0,-3.0,125.0,118.0,121.0,138.0,-13.0,-3.0,-1,1,0.0,-8.0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,-8.0,105.53,,0,0,0,1,0,1,1,1,0.0,1.0,0.0,17.7,,,251.0,,,,
22500091,2025-10-24,BKN,CLE,124.0,131.0,255.0,True,106.86,104.4,111.2,-6.8,,0.504,102.73,110.4,108.8,1.6,,0.506,4.1299999999999955,-6.0,2.4000000000000057,-8.4,,-0.002,0,1,0,1,2.0,2.0,0,0,0,1,0,2,117.0,111.0,136.0,119.0,-2.0,-25.0,117.0,111.0,136.0,119.0,-2.0,-25.0,117.0,111.0,136.0,119.0,-2.0,-25.0,-2,1,-13.0,-0.5,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,-13.0,-0.5,104.795,,0,0,0,1,0,1,1,1,0.0,0.25,0.0,4.6,,,241.5,,,,
